rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L20.Sex2,Sex2,0.00166800498777221,0.000454848728628203,57.6270215003965,3.66716423018883,0.000536466855543363,L20
L20.rs1582763,rs1582763,0.00073996103375913,0.00030929779922153,57.5796393000239,2.39239023239588,0.0200238609129064,L20
L22.Sex2,Sex2,0.00268532520242934,0.00129991960512101,58.8442243080027,2.06576252242874,0.0432632734193012,L22
L22.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00452333237401271,0.0022068538652645,59.0417177516712,2.0496746274002,0.044846463838359,L22
L24,rs1582763,-0.000584596521814046,0.000263521206302681,49.1908475934033,-2.21840408981195,0.0311738155071213,L24
L27.StatusNeuro_OT,StatusNeuro_OT,0.00376002767860381,0.00149208455422792,57.8605060517989,2.51998297814258,0.0145182139351053,L27
L27.rs1582763,rs1582763,-0.00121633564305793,0.000526158739871609,57.9013797182009,-2.31172752799798,0.0243709723860661,L27
L29.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.0024541029337532,0.00111802074280461,57.9924106891969,-2.19504239930018,0.0321773003911489,L29
L29.APOE4,APOE4,-0.00154866121202344,0.000747045303746341,57.9061136429988,-2.07304858789299,0.0426276302585516,L29
L30.StatusNeuro_ADAD,StatusNeuro_ADAD,0.0019630869971105,0.00066337287208348,58.6191922190454,2.95925124424361,0.0044432581484528,L30
L30.APOE4,APOE4,-0.00104446261248395,0.00044322260972905,58.5103027929042,-2.35651925140382,0.0218156194958246,L30
L33.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00222401962256174,0.000858400554505698,58.2592277078366,-2.59088791460814,0.0120769513305331,L33
L33.APOE4,APOE4,-0.0014546896630865,0.000573500519723434,58.1375413149314,-2.53650975554131,0.0139036004277489,L33
L35.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00145229923199416,0.000627895420768729,57.7871411443517,-2.31296356679288,0.0243053616731926,L35
L35.APOE4,APOE4,0.00113404595976761,0.000419585666803917,57.7242444568177,2.70277573684988,0.00901587604705802,L35
L36,StatusNeuro_ADAD,-0.00365016041793942,0.00164454140409209,57.7452552699494,-2.21956127638792,0.0303905083432372,L36
L37,rs1582763,-0.00179949169560914,0.000893916510713021,57.8684840315132,-2.01304224057098,0.0487702387150332,L37
L38.StatusNeuro_AD,StatusNeuro_AD,-0.00326284474330814,0.00128567357847928,57.8667719064035,-2.53784848496886,0.0138690953562036,L38
L38.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00723096291584584,0.00137905540502141,57.9356402112125,-5.24341726192907,2.31698606866363e-06,L38
L39.StatusNeuro_AD,StatusNeuro_AD,-0.00182255589679943,0.000805216579492267,57.8596370093859,-2.26343563113001,0.0273758339413911,L39
L39.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00412255521931392,0.000863913149089008,57.9832016322622,-4.77195563426848,1.27512843461268e-05,L39
L40,StatusNeuro_ADAD,-0.00903876638572097,0.00191720428125412,57.9798733641327,-4.71455570702584,1.56381899635328e-05,L40
L41,StatusNeuro_ADAD,-0.00446172059688117,0.00107140609488748,57.9872224577827,-4.16435991746876,0.000104999807437766,L41
L42,StatusNeuro_ADAD,0.0033001133943723,0.000856761424035707,56.9270112924746,3.8518463854586,0.000299780424295803,L42
L43,StatusNeuro_ADAD,0.00267098002028811,0.000820995411297602,55.953160797174,3.25334342133115,0.00193640448732291,L43
L44.Sex2,Sex2,0.00148959322288583,0.000683342850021264,58.0833687434321,2.17986216266034,0.0333342841206081,L44
L44.StatusNeuro_ADAD,StatusNeuro_ADAD,0.0029340018985861,0.00115982647229132,58.2151881248135,2.5296904051429,0.014144944014513,L44
L45,StatusNeuro_ADAD,0.00251229106451405,0.00103483875871903,58.370707561087,2.4277125719797,0.0182983511944573,L45
L49,StatusNeuro_ADAD,0.00481840980174901,0.00101879734116128,57.6875034283883,4.72950763324207,1.49450926862674e-05,L49
L50,StatusNeuro_ADAD,0.00582791239294261,0.00176866964023179,57.6047834816241,3.29508250742566,0.00168692628545586,L50
L51.StatusNeuro_ADAD,StatusNeuro_ADAD,0.00421180539032787,0.00143303150583071,57.9790498011984,2.93908778222314,0.00471943281530422,L51
L51.rs1582763,rs1582763,-0.00134362017590455,0.000574136757761795,57.7992586285935,-2.34024412779717,0.0227453245365735,L51
L52,rs1582763,0.00259279754318588,0.000961018909485249,57.5099041397853,2.69796724871383,0.00914055203128824,L52
L54,StatusNeuro_ADAD,-0.00279865111147903,0.000739861395648309,57.9349562873019,-3.78266946747057,0.000369652961293208,L54
L55,StatusNeuro_ADAD,-0.00498107099200702,0.00140432085495087,57.7845758024512,-3.54696077783539,0.000780922717422156,L55
L56.Sex2,Sex2,-0.000728250186115056,0.000331413835714474,58.3488607600517,-2.19740429528257,0.0319746446658698,L56
L56.rs1582763,rs1582763,-0.000455219076356684,0.000225332664138314,58.30406395867,-2.02020900120038,0.0479640613868857,L56
L57,APOE4,-0.00293347555729882,0.00137441521273978,57.9161038621726,-2.1343445052905,0.0370591726777254,L57
