LCORL_K6,AP2M1_K3,AKR1B1_K3,HOOK2_K3,GRN_K3,BROX_K3,RCC1_K3,SLC38A2_K2,C5orf24_K3,RAB9A_K3,TRABD_K3,RASA2_K2,RBM23_K3,PRMT1_K3,SRSF10_K3,RANBP6_K3,PCYOX1_K3,PGRMC2_K3,IGF1R_K6,C12orf29_K3,RRAGC_K3,THBS2_K3,KAT5_K3,DDX3X_K3,RNASEH2C_K3,TMX1_K3,RAPGEF5_K2,SDR39U1_K3,ING4_K3,CEP97_K2,SF3B1_K2,MUS81_K3,SNRNP200_K3,CBLL1_K3,KLHDC2_K3,DNAJC8_K3,ZFPL1_K3,CCP110_K3,PPT1_K3,CGGBP1_K3,USP32_K6,BAG5_K3,PEX5L_K6,EFCAB14_K3,PSMA4_K3,LMAN2_K3,KBTBD7_K3,SERBP1_K3,QDPR_K3,PSMD6_K3,VGLL4_K4,HSPA13_K3,SDF2_K3,GPATCH11_K3,GHITM_K3,REXO2_K3,SUN2_K3,OGT_K2,HDGF_K3,RAD23A_K3,HNRNPH1_K3,SCAF1_K3,FIGN_K3,PSMD2_K3,RUVBL1_K3,CWC15_K3,PIH1D1_K3,FGD5-AS1_K3,RNF167_K3,SLC38A2_K3,ATXN7L3B_K3,HP1BP3_K2,FKBP5_K6,ARHGAP5_K2,ACTL6A_K3,KDSR_K3,CALCOCO1_K3,USP39_K3,USP31_K6,TGOLN2_K3,RNF126_K3,CDH19_K3,LRRC7_K3,CMPK1_K3,RTRAF_K3,VCP_K3,ZNF22_K3,PSMD3_K3,NDUFAF4_K3,PHAX_K3,MRPS30_K3,CAP1_K3,NTRK2_K3,GDE1_K3,CDH2_K4,TMEM30A_K3,CCNDBP1_K3,VDAC1_K3,UBAC1_K3,FAM8A1_K3,NDFIP2_K2,GSK3A_K3,TPRN_K3,MMADHC_K3,LSM8_K3,EIF3D_K3,ATMIN_K3,ACAA1_K3,LRRC47_K3,BAG6_K3,ZNF322_K3,NFE2L1_K3,TXNDC9_K3,MLF2_K3,CEBPZ_K3,FN3KRP_K3,RHOBTB1_K6,MPHOSPH10_K3,WASHC5_K2,NPEPPS_K2,TOMM40_K3,HTATSF1_K3,XRCC6_K3,ADPRHL2_K3,GMFB_K3,DLC1_K3,AC009063.2_K6,HBP1_K2,QDPR_K2,FAR1_K3,PIK3CA_K2,SCAMP2_K3,ECI1_K3,ZNF330_K3,MAT2B_K3,ZNF397_K2,CIAO1_K3,TTC1_K3,KIDINS220_K3,KLHL24_K2,OSTC_K3,CCT8_K3,SLC35A5_K3,CLPTM1L_K3,MTMR2_K6,MAGI1_K3,ZNF706_K2,MTFR1_K2,CBX6_K3,RPN1_K3,IFIT1_K3,EDA_K2,DDX21_K3,DUSP7_K3,RAB14_K3,CHMP4B_K3,LINC01004_K2,COPS6_K3,MDGA2_K4,KLHL24_K4,ATP6V0D1_K3,ENY2_K3,PRIM2_K2,TOMM70_K3,ZBTB1_K2,BACH1_K2,NSUN5_K3,KIAA1147_K2,LAP3_K3,C9orf78_K3,CPQ_K6,TSEN15_K2,FLOT1_K3,NDRG2_K3,UTP14C_K3,M6PR_K3,ECHS1_K3,RTN3_K3,SMC2_K3,MCOLN1_K3,CCT2_K3,AARS_K3,ZNF33A_K2,POLR2D_K3,KIAA0930_K5,DNAJA2_K3,NLGN1_K3,SMNDC1_K3,RETREG2_K3,RNF139_K3,SMC3_K3,STT3A_K3,PDHA1_K3,RYK_K2,BNIP3L_K6,TRPM7_K2,PGBD5_K2,PTAR1_K2,FAM208A_K2,DAG1_K3,AKAP1_K3,YBX1_K3,CFAP97_K3,ZNF365_K6,CREBBP_K2,TMED5_K3,ZNF397_K4,GNPDA1_K3,CNDP2_K3,SEMA3C_K2,ZNHIT3_K3,ILF3-DT_K3,ATP6V1E1_K3,GTF3A_K3,LYSMD3_K3,PGAM1_K3,GKAP1_K2,PIGT_K3,SYVN1_K3,RBBP7_K3,C11orf71_K3,RBM8A_K3,SSR1_K3,DHX9_K2,GTF2A2_K3,NUP210L_K3,FXR2_K3,RALGAPB_K2,NCKAP1_K2,MIA3_K3,AFTPH_K2,PRDX3_K3,COMMD2_K3,TRUB2_K3,TFAM_K3,LARP1_K2,GID8_K3,PDIA6_K3,AUP1_K3,S1PR5_K3,SUB1_K3,GANC_K2,RNF187_K3,PHB2_K3,IRF2BP2_K3,EI24_K3,NTRK2_K5,TMEM33_K3,ACTR6_K3,FAR1_K2,KIF3A_K2,PHF3_K2,TUBB4B_K3,CADM2_K3,LIN7C_K3,KDM5A_K2,ATP8A1_K3,SCN1B_K3,PLXDC2_K3,CAVIN1_K3,CNOT2_K2,RMND5A_K2,MYO1E_K3,NBDY_K2,N4BP1_K2,SOS1_K2,TOB1_K3,TTC37_K4,MBD5_K3,EMSY_K2,FBXL3_K3,CWF19L2_K4,LINC00632_K4,STRAP_K3,MANEA_K3,SSB_K3,CRNKL1_K3,CAMK2N1_K3,COMMD6_K3,ISCU_K3,EPC2_K2,TAF3_K2,ASNSD1_K3,CCP110_K5,CADM2_K5,MRPS36_K3,UBA3_K2,HNRNPAB_K3,INPP5A_K2,PRKAR1A_K3,RPL7L1_K3,KRAS_K3,FBXW5_K3,NCSTN_K3,NSL1_K2,KIAA1143_K3,CHD1_K2,POMP_K3,PNMA1_K3,PRKDC_K2,SLC2A1_K3,ANAPC10_K2,TMED7-TICAM2_K3,INTS6_K2,SVIP_K3,DMXL1_K3,TMPO_K3,SYF2_K3,CHMP5_K3,SIRT7_K3,CNDP1_K3,ADCY5_K2,CNOT7_K3,INO80D_K2,VGLL4_K2,PLPBP_K3,MORF4L2_K3,PNRC2_K3,RNPEPL1_K3,HBP1_K4,NPM1_K3,CYHR1_K3,COG6_K2,RBBP6_K2,THRA_K3,SMC5_K2,HNRNPH3_K2,ATP8A1_K2,TBC1D15_K2,DYRK1A_K4,APMAP_K3,MAP1LC3B_K3,RWDD1_K3,RRP1_K3,NFATC3_K2,INPP1_K3,WDR26_K2,TMEM167B_K3,TROVE2_K3
Gene,LCORL,AP2M1,AKR1B1,HOOK2,GRN,BROX,RCC1,SLC38A2,C5orf24,RAB9A,TRABD,RASA2,RBM23,PRMT1,SRSF10,RANBP6,PCYOX1,PGRMC2,IGF1R,C12orf29,RRAGC,THBS2,KAT5,DDX3X,RNASEH2C,TMX1,RAPGEF5,SDR39U1,ING4,CEP97,SF3B1,MUS81,SNRNP200,CBLL1,KLHDC2,DNAJC8,ZFPL1,CCP110,PPT1,CGGBP1,USP32,BAG5,PEX5L,EFCAB14,PSMA4,LMAN2,KBTBD7,SERBP1,QDPR,PSMD6,VGLL4,HSPA13,SDF2,GPATCH11,GHITM,REXO2,SUN2,OGT,HDGF,RAD23A,HNRNPH1,SCAF1,FIGN,PSMD2,RUVBL1,CWC15,PIH1D1,FGD5-AS1,RNF167,SLC38A2,ATXN7L3B,HP1BP3,FKBP5,ARHGAP5,ACTL6A,KDSR,CALCOCO1,USP39,USP31,TGOLN2,RNF126,CDH19,LRRC7,CMPK1,RTRAF,VCP,ZNF22,PSMD3,NDUFAF4,PHAX,MRPS30,CAP1,NTRK2,GDE1,CDH2,TMEM30A,CCNDBP1,VDAC1,UBAC1,FAM8A1,NDFIP2,GSK3A,TPRN,MMADHC,LSM8,EIF3D,ATMIN,ACAA1,LRRC47,BAG6,ZNF322,NFE2L1,TXNDC9,MLF2,CEBPZ,FN3KRP,RHOBTB1,MPHOSPH10,WASHC5,NPEPPS,TOMM40,HTATSF1,XRCC6,ADPRHL2,GMFB,DLC1,AC009063.2,HBP1,QDPR,FAR1,PIK3CA,SCAMP2,ECI1,ZNF330,MAT2B,ZNF397,CIAO1,TTC1,KIDINS220,KLHL24,OSTC,CCT8,SLC35A5,CLPTM1L,MTMR2,MAGI1,ZNF706,MTFR1,CBX6,RPN1,IFIT1,EDA,DDX21,DUSP7,RAB14,CHMP4B,LINC01004,COPS6,MDGA2,KLHL24,ATP6V0D1,ENY2,PRIM2,TOMM70,ZBTB1,BACH1,NSUN5,KIAA1147,LAP3,C9orf78,CPQ,TSEN15,FLOT1,NDRG2,UTP14C,M6PR,ECHS1,RTN3,SMC2,MCOLN1,CCT2,AARS,ZNF33A,POLR2D,KIAA0930,DNAJA2,NLGN1,SMNDC1,RETREG2,RNF139,SMC3,STT3A,PDHA1,RYK,BNIP3L,TRPM7,PGBD5,PTAR1,FAM208A,DAG1,AKAP1,YBX1,CFAP97,ZNF365,CREBBP,TMED5,ZNF397,GNPDA1,CNDP2,SEMA3C,ZNHIT3,ILF3-DT,ATP6V1E1,GTF3A,LYSMD3,PGAM1,GKAP1,PIGT,SYVN1,RBBP7,C11orf71,RBM8A,SSR1,DHX9,GTF2A2,NUP210L,FXR2,RALGAPB,NCKAP1,MIA3,AFTPH,PRDX3,COMMD2,TRUB2,TFAM,LARP1,GID8,PDIA6,AUP1,S1PR5,SUB1,GANC,RNF187,PHB2,IRF2BP2,EI24,NTRK2,TMEM33,ACTR6,FAR1,KIF3A,PHF3,TUBB4B,CADM2,LIN7C,KDM5A,ATP8A1,SCN1B,PLXDC2,CAVIN1,CNOT2,RMND5A,MYO1E,NBDY,N4BP1,SOS1,TOB1,TTC37,MBD5,EMSY,FBXL3,CWF19L2,LINC00632,STRAP,MANEA,SSB,CRNKL1,CAMK2N1,COMMD6,ISCU,EPC2,TAF3,ASNSD1,CCP110,CADM2,MRPS36,UBA3,HNRNPAB,INPP5A,PRKAR1A,RPL7L1,KRAS,FBXW5,NCSTN,NSL1,KIAA1143,CHD1,POMP,PNMA1,PRKDC,SLC2A1,ANAPC10,TMED7-TICAM2,INTS6,SVIP,DMXL1,TMPO,SYF2,CHMP5,SIRT7,CNDP1,ADCY5,CNOT7,INO80D,VGLL4,PLPBP,MORF4L2,PNRC2,RNPEPL1,HBP1,NPM1,CYHR1,COG6,RBBP6,THRA,SMC5,HNRNPH3,ATP8A1,TBC1D15,DYRK1A,APMAP,MAP1LC3B,RWDD1,RRP1,NFATC3,INPP1,WDR26,TMEM167B,TROVE2
CeldaCluster,K6,K3,K3,K3,K3,K3,K3,K2,K3,K3,K3,K2,K3,K3,K3,K3,K3,K3,K6,K3,K3,K3,K3,K3,K3,K3,K2,K3,K3,K2,K2,K3,K3,K3,K3,K3,K3,K3,K3,K3,K6,K3,K6,K3,K3,K3,K3,K3,K3,K3,K4,K3,K3,K3,K3,K3,K3,K2,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K2,K6,K2,K3,K3,K3,K3,K6,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K4,K3,K3,K3,K3,K3,K2,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K6,K3,K2,K2,K3,K3,K3,K3,K3,K3,K6,K2,K2,K3,K2,K3,K3,K3,K3,K2,K3,K3,K3,K2,K3,K3,K3,K3,K6,K3,K2,K2,K3,K3,K3,K2,K3,K3,K3,K3,K2,K3,K4,K4,K3,K3,K2,K3,K2,K2,K3,K2,K3,K3,K6,K2,K3,K3,K3,K3,K3,K3,K3,K3,K3,K3,K2,K3,K5,K3,K3,K3,K3,K3,K3,K3,K3,K2,K6,K2,K2,K2,K2,K3,K3,K3,K3,K6,K2,K3,K4,K3,K3,K2,K3,K3,K3,K3,K3,K3,K2,K3,K3,K3,K3,K3,K3,K2,K3,K3,K3,K2,K2,K3,K2,K3,K3,K3,K3,K2,K3,K3,K3,K3,K3,K2,K3,K3,K3,K3,K5,K3,K3,K2,K2,K2,K3,K3,K3,K2,K3,K3,K3,K3,K2,K2,K3,K2,K2,K2,K3,K4,K3,K2,K3,K4,K4,K3,K3,K3,K3,K3,K3,K3,K2,K2,K3,K5,K5,K3,K2,K3,K2,K3,K3,K3,K3,K3,K2,K3,K2,K3,K3,K2,K3,K2,K3,K2,K3,K3,K3,K3,K3,K3,K3,K2,K3,K2,K2,K3,K3,K3,K3,K4,K3,K3,K2,K2,K3,K2,K2,K2,K2,K4,K3,K3,K3,K3,K2,K3,K2,K3,K3
GeneModule,L3,L15,L15,L15,L15,L15,L15,L16,L15,L15,L15,L11,L15,L15,L15,L15,L15,L15,L3,L15,L15,L15,L15,L15,L15,L15,L5,L15,L15,L11,L11,L15,L15,L15,L15,L15,L15,L19,L15,L15,L3,L15,L3,L15,L15,L15,L15,L15,L16,L15,L11,L15,L15,L15,L15,L15,L16,L11,L15,L15,L15,L15,L20,L15,L15,L15,L15,L15,L15,L16,L15,L11,L3,L11,L15,L15,L15,L15,L3,L15,L15,L19,L19,L15,L15,L15,L15,L15,L15,L15,L15,L15,L19,L15,L11,L15,L15,L15,L15,L15,L11,L15,L15,L15,L15,L15,L15,L15,L15,L15,L15,L15,L15,L15,L15,L15,L3,L15,L11,L11,L15,L15,L15,L15,L15,L5,L3,L11,L16,L5,L11,L15,L15,L15,L15,L11,L15,L15,L5,L11,L15,L15,L15,L15,L3,L5,L11,L11,L15,L15,L15,L11,L15,L15,L15,L15,L11,L15,L11,L11,L15,L15,L11,L15,L11,L11,L15,L11,L15,L15,L3,L11,L15,L16,L15,L15,L15,L16,L15,L15,L15,L15,L11,L15,L19,L15,L20,L15,L15,L15,L15,L15,L15,L11,L3,L11,L11,L11,L11,L15,L15,L15,L15,L3,L11,L15,L11,L15,L15,L11,L15,L15,L15,L15,L15,L15,L11,L15,L15,L15,L15,L15,L15,L11,L15,L15,L15,L11,L11,L15,L11,L15,L15,L15,L15,L11,L15,L15,L15,L15,L15,L11,L15,L15,L15,L15,L19,L15,L15,L5,L11,L11,L15,L19,L15,L11,L5,L15,L20,L15,L11,L11,L5,L11,L11,L11,L15,L11,L5,L11,L15,L11,L11,L15,L15,L15,L15,L15,L15,L15,L11,L11,L15,L19,L19,L15,L11,L15,L11,L15,L15,L15,L15,L15,L11,L15,L11,L15,L15,L11,L15,L11,L15,L11,L15,L5,L15,L15,L15,L15,L16,L11,L15,L11,L11,L15,L15,L15,L15,L11,L15,L15,L11,L11,L15,L11,L11,L5,L11,L11,L15,L15,L15,L15,L11,L15,L11,L15,L15
logFC_Sex2,-0.6867208,-1.1455176,-1.0047821,-1.1215399,-0.8622263,-0.7909892,-0.9578408,-0.9036203,-0.8224950,-0.8275581,-0.7185535,-0.5928594,-0.9026673,-0.8243530,-0.5055984,-1.1399564,-1.1434813,-0.8408140,-1.6204447,-0.8830751,-0.8981497,-1.3207212,-0.6280743,-0.3693161,-0.9939445,-0.9178387, 0.2921866,-0.8773511,-0.4497045,-0.5455023,-0.3780934,-1.0250341,-0.4151641,-0.7898737,-0.6287314,-0.5544386,-0.8498911,-0.6117819,-0.8198082,-0.6078870,-0.4303962,-0.7982445,-1.1781657,-0.6727839,-0.6626021,-0.4500875,-1.2169770,-0.7523791,-1.0240817,-1.0008953,-0.5701345,-0.8463490,-0.6611875,-0.9729721,-1.0606738,-0.7844703,-0.4430274,-0.2569314,-0.7713348,-0.5826985,-0.3988516,-0.5301975,-1.2614463,-0.8074722,-0.5401068,-0.9180841,-0.7928025,-0.6712327,-0.4967580,-1.1996962,-0.8728666,-0.2259628,-0.6294601,-0.3757407,-0.9766022,-0.6184394,-0.4742237,-0.3194168,-1.4753380,-0.5881671,-0.8414612,-0.6363816,-1.0399644,-0.7231275,-0.6500444,-0.6876876,-1.0711948,-0.6084341,-1.0573848,-0.8918420,-0.9355460,-0.6753355,-0.8048982,-0.8314840,-0.7592866,-0.8809998,-0.6368179,-0.8790725,-0.8419439,-0.8057552,-0.3801656,-0.7475626,-0.3918899,-0.5507374,-0.5667649,-0.5546679,-0.7670471,-0.6040283,-0.4988373,-0.5489490,-0.8059204,-0.6186384,-0.7454260,-0.5956844,-0.6897752,-0.5810273,-0.8267941,-0.8298096,-0.2474345,-0.2456487,-0.6172883,-0.7333296,-0.4802154,-0.7023738,-0.4813385, 0.5540356,-1.2218075,-0.3048954,-0.5401233, 0.4050725,-0.4412275,-0.4151095,-0.6193170,-0.7628967,-0.7739500,-0.3712943,-0.5277064,-0.3518848, 0.3231206,-0.2429579,-0.6361984,-0.6458655,-0.5412312,-0.5297623,-1.7037496, 0.3747773,-0.4518466,-0.4227312,-0.5925566,-0.5764876,-1.2593604,-0.6553420,-0.5963338,-0.7296126,-0.5486467,-0.5808985,-0.2827951,-0.4750348,-1.3887431,-0.2683782,-0.4955966,-0.6694448,-0.4264348,-0.5404155,-0.4375651,-0.5739654,-0.4944385,-0.4992143,-0.6519646,-0.7815037,-0.8742204,-0.5061303,-0.4941239,-0.7262674,-0.9157614,-0.6928409,-0.2887968,-0.4764185,-0.8094614,-0.7751431,-0.5781451,-0.4928403,-0.2457232,-0.5639886,-0.8241760,-0.8770178,-0.9771761,-0.7035116,-0.5090690,-0.7276061,-0.4128955,-0.5186267,-0.4959474,-0.2903154,-0.1896398,-0.1701531,-0.2098339,-0.4836867,-0.3351417,-0.6669236,-0.7829049,-0.6729058,-0.7426819,-1.2488652,-0.2931127,-0.6510430,-0.4308002,-0.5019409,-0.4735149,-0.4164133,-0.5891312,-0.4264151,-0.5336076,-0.5207754,-0.4622968,-0.7886388,-0.3117851,-0.5486673,-0.6969654,-0.5299152,-0.2677638,-0.5998153,-0.4693662,-0.3565725,-0.5847515,-0.7795110,-0.5007098,-0.2098669,-0.3559554,-0.2992915,-0.2107957,-0.6830905,-0.4996751,-0.7670020,-0.6730927,-0.1587947,-0.3364308,-0.7359161,-0.4384222,-0.4139965,-0.4083786,-0.2517224,-0.7802921,-0.4547403,-0.3869476,-0.6065073,-0.8907620,-0.3813988,-0.3349649, 0.3079150,-0.2552726,-0.2320206,-1.0813195,-0.7129503,-0.8154480,-0.2108913, 0.2383757,-0.7302803,-0.7322564,-0.6202994,-0.1193663,-0.3792660, 0.1633821,-0.3828364,-0.2007688,-0.1821101,-0.4608780, 0.2215232, 0.1635939,-0.3423691,-0.4863790, 0.2615463,-0.2173996,-0.3873695,-0.4786869,-0.4351713,-0.6760688,-0.6569054,-0.5810545,-0.6528431,-0.2459422,-0.2833153,-0.5404684,-0.4236782,-0.8636163,-0.6074653,-0.2429143,-0.6314975,-0.4000943,-0.6460761,-0.7771700,-0.5812037,-0.1924200,-0.4616848,-0.3307131,-0.5978297,-0.2459181,-0.5749964,-0.7865769,-0.1488167,-0.4259065,-0.3193673,-0.4990838,-0.2734691,-0.3965780, 0.2334025,-0.4558613,-0.4357997,-0.3103465,-0.2709517,-0.6914695,-0.1656378,-0.4502020,-0.2254110,-0.2428943,-0.6220698,-0.3935814,-0.6250550,-0.2919325,-0.2458759,-0.4687437,-0.2440236,-0.3508769,-0.3302799,-0.3819274,-0.1980341,-0.1742459, 0.1959944,-0.2242836,-0.2135618,-0.8866358,-0.3742595,-0.4158684,-0.6412447,-0.1892472,-0.3446086,-0.1447731,-0.4591547,-0.5142983
logFC_StatusNeuro_AD, 0.1268230761,-0.8749533798,-1.1115422507,-0.5311336236,-0.9780702170,-0.3613617513,-0.5097168613,-0.6230493911,-0.8163289732,-0.2491458987,-0.7933684524,-0.4650669468,-0.3276316095,-0.7559838284,-0.4009063489,-0.4742289502,-0.7075099875,-0.4993621641,-0.8581281734,-0.5827576370,-0.3767317113,-1.4770633331,-0.4914050501,-0.5297056813,-0.5054926259,-0.2175269905, 0.1075645723,-0.5054665475,-0.2274453436,-0.2796231394,-0.3159344290,-0.6720037680,-0.3998449244,-0.3852410140,-0.2125936014,-0.3315420772,-0.5506823339,-0.3196849242,-0.5875376889,-0.1315523947,-0.3989101401,-0.5110737916,-0.7301171031,-0.5251677217,-0.4438991813,-0.7434542205,-0.6626835949,-0.5288027207,-0.4962897599,-0.4624203112,-0.5229336407,-0.7868366126,-0.3933753052,-0.2943992960,-0.8380403418,-0.2931175945,-0.3895666309,-0.1162519689,-0.5273777887,-0.5545645696,-0.3995268389,-0.5463658992,-0.8250525568,-0.8187756791,-0.6155898222,-0.3931280539,-0.3918170019,-0.6678428337,-0.9722645011,-0.7282289066,-0.2532628634,-0.0120265679,-0.0741474774,-0.2163803441,-0.1542931946,-0.5038456053,-0.2880511888,-0.4535206939,-0.6955705073,-0.3841802789,-0.7027869129,-0.2939314657,-0.9431119236,-0.3352082604,-0.2652067545,-0.5779597028,-0.4882547410,-0.5703309537,-0.3808201146,-0.5539095047,-0.4454123251,-0.5438216564,-0.2219711148,-0.6014664683,-0.0807699820,-0.5655886333,-0.3160406794,-0.7115630774,-0.1634202377,-0.6933793471,-0.3168853030,-0.8193219253,-0.5330816483,-0.3084576228,-0.2389381911,-0.1143975813,-0.5571223994,-0.3333365790,-0.5636217036,-0.6177591545,-0.2118395632,-0.2512047794,-0.2655479184,-0.9061268616,-0.1921661025,-0.6876029364,-0.5873787714,-0.1105582013,-0.2194701644,-0.2218618829,-0.3429516204,-0.5518495181,-0.4680753934,-0.3069270010,-0.5060922453, 0.3918269642,-0.5146859747,-0.1752566373,-0.3107021888, 0.3914853046,-0.2521235969,-0.2819186992,-0.4883597099,-0.2164615421,-0.5009690408,-0.1893483005,-0.5661256832,-0.1154516492, 0.2694747276,-0.1798669775,-0.3150500546,-0.4454981374,-0.2965851820,-0.3996714593,-0.3077514630, 0.1471141139,-0.1741016958,-0.2977743316,-0.7591142214,-0.5512631106,-0.4433252442,-0.1805414617,-0.1859734506,-0.4727030936,-0.4608335540,-0.5314734201,-0.2762897035,-0.3308143559,-0.9947879803,-0.2410639365,-0.4498999490,-0.1634117702,-0.3250327779,-0.0730888918,-0.2442741396,-0.4347689512,-0.5718285769,-0.3445581704,-0.5280096359,-0.7387795528,-0.5725123541,-0.3320518809,-0.3549691490,-0.1955010660,-0.7144130940,-0.4968688103,-0.3563512105,-0.3890933888,-0.6359217821,-0.1125579190,-0.2757378380,-0.4133900397,-0.1509476261,-0.6994630422,-0.5819922243,-0.5380359146,-0.6427767377,-0.2652363887,-0.5853031931,-0.4495535661,-0.1695632042,-0.4745168913,-0.3104233446,-0.1864705290,-0.0672206504,-0.1572721482,-0.1642046171,-0.3323606582,-0.2943250824,-0.2046600598,-0.6749471671,-0.3871377986,-0.4425816786,-0.3132518711,-0.2553106451,-0.1805082054,-0.3426862125,-0.4957265989,-0.4213068551,-0.4721506088,-0.2271569980,-0.4911483789,-0.3061261256,-0.2081067270,-0.0294898171,-0.9556933608,-0.1634754335,-0.2324997786,-0.6565703511,-0.3389705042,-0.2269003368,-0.6557295048,-0.5473446574,-0.2505429918,-0.3264043555,-0.3386705436,-0.4182745106,-0.1454225077,-0.1989561529, 0.0994328139,-0.2101591204,-0.4310900646,-0.2275349592,-0.4661361455,-0.0008082496,-0.3749756796,-0.3967686899,-0.4267435413,-0.1283110759,-0.3730303824,-0.4057429367,-0.1728992107,-1.1414192807,-0.6416752918,-0.4854880066,-0.8134742308,-0.2814009340,-0.4771171453,-0.2063462675, 0.2311529086,-0.2070093271,-0.1193660357,-1.1535484180,-0.7362150406,-0.6388609423,-0.1984896772, 0.2914280864,-0.9150472775,-0.3734108026,-0.8813999668, 0.0019420766,-0.1861200063, 0.0656813501,-0.1145508691,-0.1609357746,-0.0770852979,-0.4894509332, 0.1652678091, 0.2656577235,-0.0878916335,-0.3978871868, 0.2957594933, 0.2639653687,-0.3752208347,-0.2192449920,-0.1711135726,-0.4904345299,-0.3983695390,-0.0867446465,-0.6529690067,-0.1085912078,-0.2718979028,-0.0791146651,-0.0798989286,-0.6615970689,-0.2820347910,-0.1946352024,-0.7210478598,-0.1836224923,-0.5248556976,-0.3501041133,-0.4604573001,-0.4649393799,-0.4199721555,-0.1410789276,-0.4056901525,-0.1683587757,-0.3225785184,-0.6976725569,-0.1505430914,-0.1695353051,-0.1351363708,-0.3206177504,-0.0506096183,-0.3533477524, 0.1706453477,-0.2715502517,-0.4103945413,-0.1448373450, 0.1170254351,-0.7198879300,-0.1119115036,-0.0606747271,-0.1603257435,-0.1107109854,-0.2698445919,-0.4485379179,-0.3757246408,-0.5100151083, 0.0310531506,-0.3564155440,-0.2016819914,-0.0826947162,-0.1442607031,-0.0947226917,-0.0832657473,-0.0179183300, 0.2837536295,-0.1661680746,-0.1387159862,-0.3675688310,-0.1985136442,-0.2732816662,-0.3279038109,-0.1870500275,-0.1614668431,-0.1948694817,-0.3221936956,-0.3227926617
