rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L22,StatusNeuro_ADAD,-0.000615719708705102,0.000236166434128608,58.3550567173429,-2.60714318263281,0.0115721865490181,L22
L23.StatusNeuro_AD,StatusNeuro_AD,-0.00269898824129375,0.00116835459622133,57.6071105899785,-2.3100762816552,0.0244873173121138,L23
L23.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00565266480235968,0.0012528485454792,57.6080956217118,-4.51185007378335,3.21695716791048e-05,L23
L24,StatusNeuro_ADAD,-0.00442422348448421,0.00128038624498594,57.9521099211549,-3.4553819222986,0.00103469476851748,L24
L25,rs1582763,0.00114464794258787,0.000493854251089264,58.0196835876245,2.31778493363819,0.0240084399521151,L25
L26.StatusNeuro_AD,StatusNeuro_AD,-0.00160548805684683,0.000733148232481167,57.680246780276,-2.1898546374632,0.0325930178343631,L26
L26.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00351896393318148,0.00078616892715407,57.6803640276297,-4.47609134835705,3.63666913654222e-05,L26
L29.StatusNeuro_AD,StatusNeuro_AD,-0.00260845435827283,0.0010015618447287,58.3006348201175,-2.60438671061735,0.011658097038968,L29
L29.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00411409616338968,0.00107398048519705,58.2950344955425,-3.83069917945002,0.000315033251983535,L29
L30.StatusNeuro_AD,StatusNeuro_AD,-0.00420905446111433,0.00178174700082927,57.1208656777586,-2.36231881358876,0.0215908799546566,L30
L30.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00722042892772299,0.00191060042485062,57.1218604592834,-3.77914127611874,0.000377880255485638,L30
L31,rs1582763,0.000417964706060808,0.000201520717606582,56.343752206934,2.07405328357741,0.0426556801279846,L31
L32,StatusNeuro_ADAD,-0.0012783863374513,0.000455478033640262,57.9426452893657,-2.80669152633818,0.00680657260011894,L32
L36,StatusNeuro_ADAD,0.00262387180761881,0.0011864077965262,57.2068843344812,2.21161038835171,0.0310035985531937,L36
L37,StatusNeuro_ADAD,-0.00521545319779056,0.00144017588369289,56.6539388468984,-3.62140017538491,0.000626788423812305,L37
L38,StatusNeuro_ADAD,0.00258059877763858,0.00128639384052133,58.2140597931021,2.00607208799504,0.0495025578417652,L38
L39,StatusNeuro_ADAD,-0.00283349161806447,0.000623176058491531,57.9657012867208,-4.54685570707459,2.82371939660759e-05,L39
L40.StatusNeuro_AD,StatusNeuro_AD,-0.00231196589750379,0.00104155972114208,57.7189121981239,-2.21971515466121,0.0303813025495858,L40
L40.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00540588983955824,0.00111688335712885,57.7201623479451,-4.84015614079438,1.00697453055821e-05,L40
L41,StatusNeuro_ADAD,-0.00390631110587527,0.00106926186601391,57.446821796547,-3.65327823804057,0.000561730131666532,L41
L42,rs1582763,0.00102103299314279,0.000274442333268535,58.0389319746356,3.72039175218545,0.000450724873549625,L42
L43,Sex2,-0.00523301462377044,0.00259120942633294,58.0169969776264,-2.01952592893125,0.0480600626005544,L43
L44,StatusNeuro_ADAD,-0.00379724778354328,0.00104090456432204,55.5181215686282,-3.64802683521376,0.000584580853322642,L44
L46,StatusNeuro_ADAD,-0.00598012602781902,0.00173223436550964,57.9193516462065,-3.45226151084909,0.00104498335042644,L46
