PropMean.groups1,PropMean.groups2,PropRatio,Tstatistic,P.Value,FDR
7,0.0577360347978304,0.206801232407504,0.279186125371153,-3.74521551403571,0.000274943255008175,0.00192460278505722
4,0.119106460426389,0.0392319049573322,3.035959139785,2.98715868313765,0.0033960141815737,0.011886049635508
3,0.147968901508087,0.0693660689325483,2.13315968145711,2.7276066278409,0.00730772951624461,0.0170513688712374
2,0.0231144901246477,0.0110119588851215,2.09903527299563,1.56943893603857,0.119099771478509,0.20842460008739
1,0.0818274681235888,0.0880086814772697,0.929765867981134,0.737397875765006,0.462276628227602,0.647187279518642
5,0.2625743401202,0.256019204597258,1.02560407737089,0.47172776349767,0.637951987784232,0.744277319081604
6,0.307672304899257,0.329560948742966,0.933582410394198,0.0709389102134566,0.943560917524849,0.943560917524849
