rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L22.StatusNeuro_Presympt,StatusNeuro_Presympt,-0.00308780537980629,0.00144479261978184,50.6608891555008,-2.13719625746188,0.0374317747989335,L22
L23,StatusNeuro_ADAD,-0.0055576481694435,0.00177337271224015,56.7602410475127,-3.13394253282661,0.00272904492102929,L23
L24.StatusNeuro_AD,StatusNeuro_AD,-0.00220662097559656,0.00108588895634891,57.2572732592371,-2.03208713257008,0.0467933639743019,L24
L24.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.00543554727040873,0.00115631135233672,56.8004836887322,-4.70076442596914,1.69374950747879e-05,L24
L25,StatusNeuro_ADAD,-0.00539946994152958,0.00147441113405643,57.8905888023166,-3.66211961969823,0.000543409207674015,L25
L28,StatusNeuro_ADAD,0.00291113128987046,0.000946808448776629,54.8395776239906,3.07467819243896,0.00328194425103454,L28
L30,Sex2,-0.00728811217163823,0.00353356965231336,56.0220564486384,-2.06253530813149,0.0438049106522074,L30
L31,Sex2,0.00133689689592177,0.000640825245571894,51.918218720635,2.08621134257699,0.0418895157246051,L31
L33,StatusNeuro_ADAD,0.00406515053210493,0.00120748488080812,54.7281744805662,3.36662644536326,0.00139775652102358,L33
L35,StatusNeuro_AD,0.00430085084077121,0.00174237123100763,54.2457642626224,2.4683894937154,0.0167545886994753,L35
L36,StatusNeuro_ADAD,-0.0057918492157772,0.00176219286935603,55.5697395385884,-3.28672832383765,0.00176000601515379,L36
L38.Sex2,Sex2,-0.000998148325485796,0.000260127093333358,46.0883933703137,-3.83715634036878,0.000377102117722748,L38
L38.StatusNeuro_ADAD,StatusNeuro_ADAD,0.000944407130159583,0.000465024244928757,49.2352645935905,2.0308771864234,0.0476853598287518,L38
L38.StatusNeuro_Presympt,StatusNeuro_Presympt,0.00165315624656138,0.000701047198135443,47.7138542624347,2.35812403352904,0.022514820516077,L38
L40,StatusNeuro_ADAD,-0.0033775919014521,0.000680901991392438,57.2239225023194,-4.96046706302761,6.63817637048002e-06,L40
L41,StatusNeuro_ADAD,-0.00209188634050535,0.000830253855630878,56.8013651958389,-2.51957437634036,0.0145873556712061,L41
L42,StatusNeuro_ADAD,-0.00511955837184172,0.0011039723820993,56.1641009358519,-4.63739714403584,2.15111049540097e-05,L42
L43,Sex2,0.000375064720593877,0.000185318924474694,47.5936823329383,2.02388785525837,0.0486154479077182,L43
L44,StatusNeuro_ADAD,0.00115318125830422,0.000560692607530995,46.9109077071387,2.05670851160717,0.0452995991512512,L44
